date,tf,fh_move_pct,first_hour_range,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,continuation_hours,chop_hours,pullback_25_hours,pullback_50_hours,failed_buyup,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-19,1h,0.8278,6.56,666.5545,1.0,-0.7855,0.0,0.0,1.0,1.0,True,1,663.5,664.76,661.74,662.65,3.02,-0.1281,10568754.0,0.1268
2025-11-24,1h,0.4308,3.09,670.06,6.0,4.28,6.0,0.0,1.0,1.0,False,1,668.93,670.06,668.61,668.81,1.45,-0.0179,14162469.0,0.2192
2025-12-19,1h,0.3843,3.93,681.09,3.0,0.57,3.0,0.0,1.0,,False,1,680.49,680.72,679.61,680.59,1.11,0.0147,19060706.0,0.2221
2026-01-09,1h,0.3802,2.84,695.31,5.0,1.97,5.0,0.0,1.0,1.0,False,1,695.02,695.12,693.9,693.99,1.22,-0.1482,11622656.0,0.1758
2026-01-12,1h,0.324,2.57,696.09,5.0,2.19,5.0,0.0,1.0,1.0,False,1,695.32,695.74,695.14,695.16,0.6,-0.023,9235358.0,0.1572
2026-01-20,1h,0.3505,2.52,684.77,1.0,0.76,1.0,0.0,1.0,1.0,False,1,677.4,677.74,676.57,677.61,1.17,0.031,17216868.0,0.1685
2026-01-21,1h,0.4013,3.13,688.735,5.0,5.315,5.0,0.0,1.0,1.0,False,1,685.08,686.16,684.63,685.33,1.53,0.0365,16023085.0,0.1378
2026-02-02,1h,0.7403,6.09,696.93,3.0,1.26,3.0,0.0,1.0,,False,1,695.81,695.96,695.08,695.46,0.88,-0.0503,13121586.0,0.1814
2026-02-06,1h,0.6149,5.05,692.31,6.0,5.8,6.0,0.0,1.0,1.0,False,1,689.77,692.31,689.6,690.6,2.71,0.1203,14828433.0,0.1819
2026-02-09,1h,0.3655,3.51,695.87,4.0,2.94,4.0,0.0,1.0,1.0,False,1,694.57,695.02,693.88,693.91,1.14,-0.095,11568140.0,0.1783
