date,tf,fh_move_pct,fh_high,fh_low,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,made_new_high_after_fh,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,made_new_low_after_fh,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-20,1h,0.2853,675.41,672.47,675.56,1.0,0.15,True,651.89,6.0,20.58,True,1,656.2,656.56,651.89,652.53,4.67,-0.5593,20340783.0,0.1333
2025-11-25,1h,-0.0075,669.98,664.48,676.21,6.0,6.23,True,668.44,1.0,-3.96,False,1,674.51,676.21,674.455,675.0,1.755,0.0726,10722148.0,0.1479
2025-12-11,1h,0.1635,686.7995,682.165,689.25,5.0,2.4505,True,684.07,1.0,-1.905,False,1,688.44,689.18,687.99,689.15,1.19,0.1031,12663361.0,0.1754
2025-12-16,1h,-0.2267,681.08,676.44,680.56,6.0,-0.52,False,674.98,3.0,1.46,True,1,679.195,680.56,678.82,678.86,1.74,-0.0493,17100812.0,0.1884
2025-12-18,1h,0.2229,679.11,675.69,680.74,1.0,1.63,True,674.9,2.0,0.79,True,1,677.62,678.55,676.41,676.48,2.14,-0.1682,15842550.0,0.159
2026-01-05,1h,0.1787,688.61,686.51,689.43,2.0,0.82,True,687.16,6.0,-0.65,False,1,687.965,688.12,687.16,687.73,0.96,-0.0342,11627152.0,0.1795
2026-01-08,1h,0.1176,690.02,687.49,690.615,3.0,0.595,True,688.28,4.0,-0.79,False,1,689.57,690.055,689.255,689.44,0.8,-0.0189,8616130.0,0.1461
2026-01-22,1h,-0.2044,690.67,686.92,691.125,3.0,0.455,True,687.595,6.0,-0.675,False,1,688.16,689.045,687.595,688.93,1.45,0.1119,10384610.0,0.1583
2026-02-04,1h,-0.0652,691.45,686.51,690.27,1.0,-1.18,False,681.76,3.0,4.75,True,1,687.53,688.32,685.641,686.12,2.679,-0.2051,10951574.0,0.1122
