date,tf,fh_move_pct,first_hour_range,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,continuation_hours,chop_hours,bounce_25_hours,bounce_50_hours,failed_selloff,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-18,1h,-0.4546,5.295,655.86,1.0,0.94,1.0,0.0,1.0,1.0,False,1,662.42,662.78,660.0,660.14,2.78,-0.3442,16397145.0,0.1532
2025-11-21,1h,-0.3007,2.71,650.85,1.0,1.4901,1.0,0.0,1.0,1.0,False,1,659.6,661.25,658.23,659.08,3.02,-0.0788,15592819.0,0.1375
2025-12-12,1h,-0.6423,4.54,679.1744,2.0,4.4556,2.0,0.0,1.0,1.0,False,1,681.3699,681.87,680.07,681.73,1.8,0.0529,15730297.0,0.1603
2025-12-15,1h,-0.8633,6.49,679.42,3.0,-0.17,0.0,0.0,1.0,1.0,True,1,681.09,681.6,680.55,680.71,1.05,-0.0558,13514049.0,0.1629
2026-01-02,1h,-0.4754,4.13,679.82,4.0,1.76,4.0,0.0,1.0,1.0,False,1,683.24,683.42,682.07,683.17,1.35,-0.0102,10922434.0,0.1327
2026-01-13,1h,-0.3968,3.4,691.35,6.0,0.7401,6.0,0.0,1.0,1.0,False,1,692.0,693.96,691.35,693.75,2.61,0.2529,13007191.0,0.1847
2026-01-14,1h,-0.3242,3.32,686.04,2.0,1.64,2.0,0.0,1.0,1.0,False,1,689.15,690.64,688.62,690.44,2.02,0.1872,17846095.0,0.2089
2026-01-29,1h,-1.0655,7.53,684.83,1.0,4.03,1.0,0.0,1.0,1.0,False,1,691.58,694.79,691.39,693.97,3.4,0.3456,13376787.0,0.1482
2026-02-03,1h,-0.6368,5.8413,684.03,4.0,6.77,4.0,0.0,1.0,4.0,False,1,687.53,689.75,687.49,689.46,2.26,0.2807,12789390.0,0.1308
2026-02-05,1h,-0.6315,4.765,675.79,1.0,0.385,1.0,0.0,1.0,1.0,False,1,677.79,678.3499,676.1855,677.44,2.1644,-0.0516,14065824.0,0.14
2026-02-11,1h,-0.9578,7.21,689.56,1.0,-0.38,0.0,0.0,1.0,1.0,True,1,692.25,692.99,691.77,691.92,1.22,-0.0477,9384677.0,0.1305
