date,tf,fh_move_pct,first_hour_range,fh_volume,day_volume,fh_vol_vs_day,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,continuation_hours,chop_hours,pullback_25_hours_after_fh,pullback_50_hours_after_fh,pullback_25_level,pullback_50_level,failed_buyup,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-19,30m,0.8278,6.56,18990342.0,83370172.0,0.2278,666.5545,0.5,-0.7855,0.0,0.0,0.5,0.5,662.6,662.6,True,2,661.25,664.76,661.0,662.65,3.76,0.2117,16556533.0,0.1986
2025-11-24,30m,0.4308,3.09,16982668.0,64624267.0,0.2628,670.06,5.5,4.28,5.5,0.0,0.5,0.5,664.95,664.95,False,2,668.3,670.06,668.19,668.81,1.87,0.0763,17802074.0,0.2755
2025-12-19,30m,0.3843,3.93,22687233.0,85837194.0,0.2643,681.09,3.0,0.57,3.0,0.0,0.5,,678.66,,False,2,680.59,680.83,679.61,680.59,1.22,0.0,24306162.0,0.2832
2026-01-09,30m,0.3802,2.84,19427672.0,66104924.0,0.2939,695.31,5.0,1.97,5.0,0.0,0.5,0.5,691.28,691.28,False,2,694.89,695.31,693.9,693.99,1.41,-0.1295,15276699.0,0.2311
2026-01-12,30m,0.324,2.57,16933046.0,58754806.0,0.2882,696.09,5.0,2.19,5.0,0.0,0.5,,692.96,,False,2,695.945,696.09,695.14,695.16,0.95,-0.1128,13905984.0,0.2367
2026-01-20,30m,0.3505,2.52,28889272.0,102173574.0,0.2827,684.77,0.5,0.76,0.5,0.0,0.5,0.5,682.93,682.93,False,2,677.85,678.15,676.57,677.61,1.58,-0.0354,25992934.0,0.2544
2026-01-21,30m,0.4013,3.13,24100559.0,116248106.0,0.2073,688.735,5.0,5.315,5.0,0.0,0.5,0.5,682.94,682.94,False,2,688.11,688.735,684.63,685.33,4.105,-0.404,25152930.0,0.2164
2026-02-02,30m,0.7403,6.09,21972482.0,72337532.0,0.3037,696.93,2.5,1.26,2.5,0.0,1.0,,693.92,,False,2,695.52,696.47,695.0103,695.46,1.4597,-0.0086,20828887.0,0.2879
2026-02-06,30m,0.6149,5.05,25449759.0,81522975.0,0.3122,692.31,5.5,5.8,5.5,0.0,0.5,0.5,684.33,684.33,False,2,689.34,692.31,689.1,690.6,3.21,0.1828,19445641.0,0.2385
2026-02-09,30m,0.3655,3.51,18050055.0,64892052.0,0.2782,695.87,4.0,2.94,4.0,0.0,0.5,0.5,691.9387,691.9387,False,2,695.42,695.72,693.88,693.91,1.84,-0.2171,16173612.0,0.2492
