date,tf,fh_move_pct,fh_volume,day_volume,fh_vol_vs_day,fh_high,fh_low,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,made_new_high_after_fh,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,made_new_low_after_fh,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-20,30m,0.2853,22654072.0,152587045.0,0.1485,675.41,672.47,675.56,0.5,0.15,True,651.89,5.5,20.58,True,2,658.12,658.13,651.89,652.53,6.24,-0.8494,29101560.0,0.1907
2025-11-25,30m,-0.0075,19859510.0,72473588.0,0.274,669.98,664.48,676.21,5.5,6.23,True,668.44,0.5,-3.96,False,2,673.94,676.21,673.92,675.0,2.29,0.1573,15496925.0,0.2138
2025-12-11,30m,0.1635,19263281.0,72201514.0,0.2668,686.7995,682.165,689.25,4.5,2.4505,True,684.07,0.5,-1.905,False,2,688.83,689.18,687.99,689.15,1.19,0.0465,16596794.0,0.2299
2025-12-16,30m,-0.2267,19976735.0,90775025.0,0.2201,681.08,676.44,680.56,5.5,-0.52,False,674.98,3.0,1.46,True,2,677.94,680.56,677.63,678.86,2.93,0.1357,23590761.0,0.2599
2025-12-18,30m,0.2229,21870852.0,99636203.0,0.2195,679.11,675.69,680.74,1.0,1.63,True,674.9,2.0,0.79,True,2,675.71,678.55,675.45,676.48,3.1,0.1139,23018825.0,0.231
2026-01-05,30m,0.1787,17690747.0,64772075.0,0.2731,688.61,686.51,689.43,1.5,0.82,True,687.16,5.5,-0.65,False,2,687.615,688.24,687.16,687.73,1.08,0.0167,15241203.0,0.2353
2026-01-08,30m,0.1176,17217806.0,58978188.0,0.2919,690.02,687.49,690.615,2.5,0.595,True,688.28,4.0,-0.79,False,2,688.85,690.055,688.71,689.44,1.345,0.0857,11863919.0,0.2012
2026-01-22,30m,-0.2044,20543983.0,65589755.0,0.3132,690.67,686.92,691.125,3.0,0.455,True,687.595,5.5,-0.675,False,2,688.76,689.51,687.595,688.93,1.915,0.0247,15738720.0,0.24
2026-02-04,30m,-0.0652,20676503.0,97586101.0,0.2119,691.45,686.51,690.27,0.5,-1.18,False,681.76,2.5,4.75,True,2,688.27,688.49,685.641,686.12,2.849,-0.3124,16553139.0,0.1696
2026-02-13,30m,0.1834,24768855.0,69833155.0,0.3547,683.37,677.52,686.28,2.5,2.91,True,680.55,5.0,-3.03,False,1,682.4,683.26,680.55,680.789,2.71,-0.2361,5297151.0,0.0759
