date,tf,fh_move_pct,fh_volume,day_volume,fh_vol_vs_day,fh_high,fh_low,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,made_new_high_after_fh,failed_new_high_after_fh,final_abs_low,hours_to_final_abs_low,extension_points_below_fh_low,made_new_low_after_fh,failed_new_low_after_fh,bounce25_from_fh_low_hours_after_fh,bounce25_from_fh_low_level,bounce50_from_fh_low_hours_after_fh,bounce50_from_fh_low_level,pullback25_from_fh_high_hours_after_fh,pullback25_from_fh_high_level,pullback50_from_fh_high_hours_after_fh,pullback50_from_fh_high_level,lh_bars,lh_open,lh_high,lh_low,lh_close,lh_range,lh_move_pct,lh_volume,lh_vol_vs_day
2025-11-26,30m,0.0738,14605661.0,64171655.0,0.2276,679.48,676.72,681.7,2.5,2.22,True,False,678.0606,0.5,-1.3406,False,True,0.5,679.62,0.5,679.62,0.5,678.0606,0.5,678.0606,2,680.87,681.59,679.62,679.63,1.97,-0.1821,17700709.0,0.2758
2025-11-28,30m,0.1219,9771492.0,30589631.0,0.3194,682.32,680.5,683.0,2.0,0.68,True,False,681.61,0.5,-1.11,False,True,0.5,682.63,0.5,682.63,0.5,681.61,0.5,681.61,0,,,,,,,,
2025-12-01,30m,0.1503,13905746.0,54694384.0,0.2542,681.86,678.74,682.99,3.5,1.13,True,False,678.84,0.5,-0.1,False,True,0.5,681.83,0.5,681.83,0.5,678.84,0.5,678.84,2,680.2,681.07,679.375,680.27,1.695,0.0103,18012555.0,0.3293
2025-12-02,30m,-0.0499,10356591.0,55206312.0,0.1876,683.28,681.42,683.82,1.0,0.54,True,False,679.3275,1.5,2.0925,True,False,0.5,683.68,0.5,683.68,0.5,680.85,0.5,680.85,2,682.36,682.88,681.37,681.48,1.51,-0.129,13289359.0,0.2407
2025-12-03,30m,0.1631,12869639.0,51810800.0,0.2484,682.34,679.69,684.91,5.0,2.5699,True,False,681.3299,0.5,-1.6399,False,True,0.5,682.94,0.5,682.94,0.5,681.3299,0.5,681.3299,2,684.63,684.91,683.55,683.81,1.36,-0.1198,14071777.0,0.2716
2025-12-04,30m,-0.2488,11590647.0,56360232.0,0.2057,685.35,682.17,684.77,3.0,-0.58,False,True,681.34,4.0,0.83,True,False,0.5,684.56,0.5,684.56,0.5,683.132,0.5,683.132,2,683.24,684.58,682.31,684.4,2.27,0.1698,12281364.0,0.2179
2025-12-05,30m,0.3523,13837995.0,55766212.0,0.2481,688.3,685.32,688.39,0.5,0.09,True,False,684.58,2.5,0.74,True,False,0.5,688.39,0.5,688.39,0.5,686.26,0.5,686.26,2,686.26,686.3,684.6,685.65,1.7,-0.0889,13753291.0,0.2466
2025-12-08,30m,-0.2964,10541207.0,49014796.0,0.2151,686.64,683.8724,685.05,0.5,-1.59,False,True,681.57,3.5,2.3024,True,False,0.5,685.05,0.5,685.05,0.5,683.57,0.5,683.57,2,682.34,683.76,682.06,683.65,1.7,0.192,12890718.0,0.263
2025-12-09,30m,0.1559,10831407.0,48365340.0,0.2239,684.94,682.82,685.385,1.5,0.445,True,False,682.59,5.5,0.23,True,False,0.5,684.57,0.5,684.57,0.5,683.585,0.5,683.585,2,683.63,683.8526,682.59,683.05,1.2626,-0.0848,14049892.0,0.2905
2025-12-10,30m,0.063,11127344.0,74735913.0,0.1489,683.46,681.31,688.97,5.5,5.5099,True,False,681.45,1.0,-0.14,False,True,0.5,683.23,0.5,683.23,0.5,681.67,0.5,681.67,2,687.87,688.97,687.08,687.46,1.89,-0.0596,23097834.0,0.3091
2025-12-17,30m,-0.1412,16424565.0,91807459.0,0.1789,680.435,677.6,679.17,0.5,-1.265,False,True,671.195,5.5,6.405,True,False,0.5,679.17,0.5,679.17,0.5,674.02,0.5,674.02,2,673.12,673.32,671.195,671.3,2.125,-0.2704,23125021.0,0.2519
2025-12-22,30m,-0.0249,13029845.0,55834433.0,0.2334,684.53,682.89,685.36,2.5,0.83,True,False,682.68,0.5,0.21,True,False,0.5,683.99,0.5,683.99,0.5,682.68,0.5,682.68,2,684.79,685.1499,684.61,684.79,0.5399,0.0,15311754.0,0.2742
2025-12-23,30m,0.193,12187789.0,56185052.0,0.2169,686.25,683.87,688.2,5.5,1.95,True,False,685.2303,0.5,-1.3603,False,True,0.5,686.485,0.5,686.485,0.5,685.2303,0.5,685.2303,2,687.835,688.2,687.64,687.91,0.56,0.0109,13936541.0,0.248
2025-12-24,30m,0.1766,8677272.0,28919503.0,0.3,689.215,687.8,690.83,2.5,1.615,True,False,689.0125,0.5,-1.2125,False,True,0.5,689.49,0.5,689.49,0.5,689.0125,,,0,,,,,,,,
2025-12-26,30m,0.0138,10246012.0,37928848.0,0.2701,691.66,689.65,691.0001,0.5,-0.6599,False,True,689.27,3.0,0.38,True,False,0.5,691.0001,0.5,691.0001,0.5,690.4,0.5,690.4,2,690.15,690.5,690.005,690.245,0.495,0.0138,9799716.0,0.2584
2025-12-29,30m,0.0596,12114641.0,53494309.0,0.2265,689.2,686.82,688.62,5.0,-0.58,False,True,686.07,2.0,0.75,True,False,0.5,688.4,0.5,688.4,0.5,686.89,0.5,686.89,2,688.3,688.62,687.4,687.84,1.22,-0.0668,14941201.0,0.2793
2025-12-30,30m,-0.0735,8605653.0,40689911.0,0.2115,688.53,686.75,688.555,1.0,0.025,True,False,686.58,0.5,0.17,True,False,0.5,687.73,0.5,687.73,0.5,686.58,0.5,686.58,2,687.56,687.815,686.7,686.94,1.115,-0.0902,12554945.0,0.3086
2025-12-31,30m,-0.2314,12803603.0,61244086.0,0.2091,687.36,684.915,686.24,4.0,-1.12,False,True,681.71,5.5,3.205,True,False,0.5,685.655,0.5,685.655,0.5,684.18,0.5,684.18,2,684.14,684.2,681.71,681.84,2.49,-0.3362,21864172.0,0.357
2026-01-06,30m,0.3014,15428086.0,59344097.0,0.26,690.7999,687.78,692.315,5.5,1.5151,True,False,688.43,1.0,-0.65,False,True,0.5,690.555,0.5,690.555,0.5,688.82,0.5,688.82,2,691.905,692.315,691.905,692.05,0.41,0.021,10531756.0,0.1775
2026-01-07,30m,-0.0748,13653189.0,70400542.0,0.1939,693.09,691.1,693.96,2.0,0.87,True,False,689.32,5.5,1.78,True,False,0.5,692.6,0.5,692.6,0.5,690.96,0.5,690.96,2,691.75,691.815,689.32,689.59,2.495,-0.3122,20469443.0,0.2908
2026-01-15,30m,-0.0907,16604969.0,69474972.0,0.239,694.72,693.18,695.45,2.0,0.73,True,False,691.25,5.5,1.93,True,False,0.5,694.9,0.5,694.9,0.5,692.99,0.5,692.99,2,692.77,693.03,691.25,692.17,1.78,-0.0866,18549806.0,0.267
2026-01-16,30m,-0.2898,16270008.0,68528902.0,0.2374,694.25,691.5,693.71,4.0,-0.54,False,True,690.1,0.5,1.4,True,False,0.5,691.88,0.5,691.88,0.5,690.1,0.5,690.1,2,692.67,692.87,691.47,691.58,1.4,-0.1574,14524739.0,0.212
2026-01-23,30m,0.1707,13731061.0,55823196.0,0.246,689.8501,687.16,690.96,1.0,1.1099,True,False,687.73,2.5,-0.57,False,True,0.5,690.71,0.5,690.71,0.5,689.21,0.5,689.21,2,689.53,689.61,688.51,689.18,1.1,-0.0508,12676109.0,0.2271
2026-01-26,30m,0.2983,14084682.0,52562793.0,0.268,693.4,689.92,694.13,3.5,0.73,True,False,692.23,0.5,-2.31,False,True,0.5,693.3388,0.5,693.3388,0.5,692.23,5.5,692.62,2,693.6,693.87,692.62,692.71,1.25,-0.1283,16004253.0,0.3045
2026-01-27,30m,0.0864,11203436.0,46827421.0,0.2392,695.48,693.57,696.53,1.5,1.05,True,False,694.715,0.5,-1.145,False,True,0.5,696.14,0.5,696.14,0.5,694.715,0.5,694.715,2,696.07,696.4,695.4,695.54,1.0,-0.0761,11781216.0,0.2516
2026-01-28,30m,-0.0769,13475520.0,54946050.0,0.2453,697.84,696.03,696.79,0.5,-1.05,False,True,693.94,4.5,2.09,True,False,0.5,696.79,0.5,696.79,0.5,695.54,0.5,695.54,2,694.91,696.285,694.75,695.43,1.535,0.0748,14396372.0,0.262
2026-01-30,30m,-0.0585,15429578.0,84554267.0,0.1825,694.05,691.222,694.21,0.5,0.16,True,False,687.12,3.0,4.102,True,False,0.5,694.21,0.5,694.21,0.5,690.89,0.5,690.89,2,690.575,692.8262,689.3,691.9,3.5262,0.1919,27142592.0,0.321
2026-02-10,30m,0.1396,15051695.0,59323188.0,0.2537,696.435,693.455,696.54,0.5,0.105,True,False,691.66,5.5,1.795,True,False,0.5,696.54,0.5,696.54,0.5,694.91,0.5,694.91,2,693.76,693.993,691.66,692.11,2.333,-0.2378,16961204.0,0.2859
2026-02-12,30m,-0.1692,15645729.0,107612598.0,0.1454,695.35,692.16,693.48,0.5,-1.87,False,True,680.37,5.5,11.79,True,False,0.5,693.48,0.5,693.48,0.5,688.585,0.5,688.585,2,685.18,685.54,680.37,681.22,5.17,-0.578,25453435.0,0.2365
