date,first_hour_range,final_abs_high,hours_to_final_abs_high,extension_points_above_fh_high,continuation_hours,chop_hours,pullback_25_hours,pullback_50_hours,failed_buyup
2025-08-22,7.79,646.5,2,0.95,2,0,1,,False
2025-09-18,2.6,664.89,1,0.4,1,0,1,1.0,False
2025-10-14,2.74,665.83,4,5.92,4,0,1,1.0,False
2025-10-17,4.22,665.76,5,2.04,5,0,1,1.0,False
2025-11-14,4.58,675.66,3,5.7,3,0,1,1.0,False
2025-12-19,3.93,681.09,3,0.57,3,0,1,,False
2026-01-20,2.52,684.77,1,0.76,1,0,1,1.0,False
2026-01-21,3.13,688.73,5,5.32,5,0,1,1.0,False
2026-02-02,6.09,696.93,3,1.26,3,0,1,,False
2026-02-06,5.05,692.31,6,5.8,6,0,1,1.0,False
